,PedidoID,Peso_Total_Kg,Fecha_Limite_Entrega,nombre_completo,distancia_km,coordenadas_gps,Latitud,Longitud
41,46,1200,2025-12-15T00:00:00.000,Destino Sevilla,830.4,,37.3886303,-5.9953403
42,47,1070,2025-12-15T00:00:00.000,Destino Ciudad Real,583.14,,38.9597348,-3.8828744
43,49,1130,2025-12-17T00:00:00.000,Destino Murcia,472.04,,37.9923795,-1.1305431
44,50,1300,2025-12-18T00:00:00.000,Destino Tarragona,82.21,,41.1172364,1.2546057
45,52,1310,2025-12-19T00:00:00.000,Destino Badajoz,372.78,,38.878187,-6.9701115
46,53,1110,2025-12-18T00:00:00.000,Destino Lleida,132.08,,41.6147605,0.6267842
47,54,1290,2025-12-18T00:00:00.000,Destino Zamora,661.01,,41.6857693,-5.942315
48,55,1110,2025-12-16T00:00:00.000,Destino Zaragoza,256.17,,41.6521342,-0.8809428
49,56,1150,2025-12-17T00:00:00.000,Destino Murcia,472.04,,37.9923795,-1.1305431
50,57,970,2025-12-18T00:00:00.000,Destino Badajoz,372.78,,38.878187,-6.9701115
51,58,1220,2025-12-19T00:00:00.000,Destino Navarra,825.56,,42.6125488,-1.8307877
52,60,1250,2025-12-16T00:00:00.000,Destino Albacete,433.31,,38.9950921,-1.8559154
53,61,1120,2025-12-17T00:00:00.000,Destino Lleida,132.08,,41.6147605,0.6267842
54,62,1080,2025-12-18T00:00:00.000,Destino Valencia,302.81,,39.4697065,-0.3763353
55,63,1080,2025-12-19T00:00:00.000,Destino Palencia,561.34,,42.0108856,-4.5328735
56,64,1150,2025-12-19T00:00:00.000,Destino Huesca,230.28,,42.1360615,-0.0298027
57,65,1050,2025-12-22T00:00:00.000,Destino Barcelona,0,,41.3825802,2.177073
58,66,950,2025-12-18T00:00:00.000,Destino Lleida,132.08,,41.6147605,0.6267842
59,67,1240,2025-12-17T00:00:00.000,Destino Lugo,821.5,,43.0396042,-7.4566072
60,68,1120,2025-12-17T00:00:00.000,Destino Zamora,661.01,,41.6857693,-5.942315
61,69,1270,2025-12-15T00:00:00.000,Destino Segovia,529.57,,40.9481192,-4.1172101
62,70,880,2025-12-16T00:00:00.000,Destino Zamora,661.01,,41.6857693,-5.942315
63,71,1010,2025-12-17T00:00:00.000,Destino Barcelona,0,,41.3825802,2.177073
64,72,1130,2025-12-18T00:00:00.000,Destino Almería,644.56,,36.8414197,-2.4628135
65,73,1010,2025-12-19T00:00:00.000,Destino Vizcaya,888.86,,43.238482,-2.8516316
66,74,1020,2025-12-15T00:00:00.000,Destino Salamanca,657.73,,40.9651572,-5.6640182
67,75,1050,2025-12-15T00:00:00.000,Destino Cuenca,390.98,,40.0661031,-2.1313528
68,77,1060,2025-12-17T00:00:00.000,Destino Burgos,498.36,,42.343926,-3.696977
69,78,1120,2025-12-18T00:00:00.000,Destino Badajoz,372.78,,38.878187,-6.9701115
70,79,920,2025-12-19T00:00:00.000,Destino Valladolid,575.06,,41.6521807,-4.728605
71,81,1050,2025-12-22T00:00:00.000,Destino Almería,644.56,,36.8414197,-2.4628135
72,82,950,2025-12-18T00:00:00.000,Destino Teruel,299.5,,40.6005259,-0.9229282
73,83,1130,2025-12-23T00:00:00.000,Destino Teruel,299.5,,40.6005259,-0.9229282
74,84,1000,2025-12-19T00:00:00.000,Destino Soria,388.44,,41.6012505,-2.721938
75,85,970,2025-12-17T00:00:00.000,Destino Madrid,504.57,,40.416782,-3.703507
76,86,1020,2025-12-16T00:00:00.000,Destino Teruel,299.5,,40.6005259,-0.9229282
77,87,910,2025-12-25T00:00:00.000,Destino Burgos,498.36,,42.343926,-3.696977
78,88,1090,2025-12-19T00:00:00.000,Destino Badajoz,372.78,,38.878187,-6.9701115
79,89,1340,2025-12-16T00:00:00.000,Destino Segovia,529.57,,40.9481192,-4.1172101
80,90,1130,2025-12-15T00:00:00.000,Destino Palencia,561.34,,42.0108856,-4.5328735
81,91,1070,2025-12-16T00:00:00.000,Destino Teruel,299.5,,40.6005259,-0.9229282
82,92,1080,2025-12-21T00:00:00.000,Destino Navarra,825.56,,42.6125488,-1.8307877
83,93,1210,2025-12-22T00:00:00.000,Destino Sevilla,830.4,,37.3886303,-5.9953403
84,94,1210,2025-12-19T00:00:00.000,Destino Castellón,242.85,,40.2518568,-0.0615052
85,95,1130,2025-12-19T00:00:00.000,Destino Ávila,582.19,,40.656478,-4.7002172
86,96,1100,2025-12-18T00:00:00.000,Destino Albacete,433.31,,38.9950921,-1.8559154
87,97,1100,2025-12-22T00:00:00.000,Destino Madrid,504.57,,40.416782,-3.703507
88,99,1210,2025-12-29T00:00:00.000,Destino Tarragona,82.21,,41.1172364,1.2546057
89,100,1180,2025-12-19T00:00:00.000,Destino Lleida,132.08,,41.6147605,0.6267842
